"PUBLISHER","AD_FORMAT","DEVICE_TYPE","GEO_METRO","IMPRESSIONS","PURCHASES","PURCHASE_RATE_PCT","YIELD_MULTIPLIER","BID_MULTIPLIER","FLOOR_TIER"
"people.com","native",6,"Atlanta",449,9,2.004,1.87,1.87,"PREMIUM"
"cnn.com","native",4,"Houston",497,10,2.012,1.87,1.87,"PREMIUM"
"nytimes.com","native",4,"Atlanta",498,10,2.008,1.87,1.87,"PREMIUM"
"espn.com","video",6,"Miami",449,9,2.004,1.87,1.87,"PREMIUM"
"foxnews.com","native",3,"Houston",447,9,2.013,1.87,1.87,"PREMIUM"
"cnet.com","video",3,"Houston",497,10,2.012,1.87,1.87,"PREMIUM"
"bbc.com","video",4,"Dallas-Ft. Worth",497,10,2.012,1.87,1.87,"PREMIUM"
"forbes.com","native",7,"Los Angeles",449,9,2.004,1.87,1.87,"PREMIUM"
"cnet.com","native",7,"Los Angeles",498,10,2.008,1.87,1.87,"PREMIUM"
"cnet.com","video",6,"Los Angeles",499,10,2.004,1.87,1.87,"PREMIUM"
"people.com","native",6,"Dallas-Ft. Worth",498,10,2.008,1.87,1.87,"PREMIUM"
"bbc.com","video",3,"Miami",448,9,2.009,1.87,1.87,"PREMIUM"
"tmz.com","native",3,"Houston",451,9,1.996,1.86,1.86,"PREMIUM"
"variety.com","native",3,"New York",500,10,2,1.86,1.86,"PREMIUM"
"foxnews.com","video",6,"Miami",450,9,2,1.86,1.86,"PREMIUM"
"techcrunch.com","native",6,"Los Angeles",451,9,1.996,1.86,1.86,"PREMIUM"
"techcrunch.com","video",3,"Dallas-Ft. Worth",451,9,1.996,1.86,1.86,"PREMIUM"
"people.com","video",6,"Los Angeles",501,10,1.996,1.86,1.86,"PREMIUM"
"bbc.com","video",3,"Philadelphia",500,10,2,1.86,1.86,"PREMIUM"
"washingtonpost.com","native",3,"Denver",500,10,2,1.86,1.86,"PREMIUM"
"weather.com","video",6,"Houston",454,9,1.982,1.85,1.85,"PREMIUM"
"techcrunch.com","video",3,"Miami",453,9,1.987,1.85,1.85,"PREMIUM"
"espn.com","video",4,"Miami",453,9,1.987,1.85,1.85,"PREMIUM"
"people.com","native",1,"Atlanta",502,10,1.992,1.85,1.85,"PREMIUM"
"weather.com","video",1,"Miami",454,9,1.982,1.85,1.85,"PREMIUM"
"weather.com","native",4,"New York",454,9,1.982,1.85,1.85,"PREMIUM"
"washingtonpost.com","native",4,"Phoenix",504,10,1.984,1.85,1.85,"PREMIUM"
