"DOMAIN","COMPANY_NAME","COMPANY_INDUSTRY","COMPANY_REVENUE","COMPANY_SIZE","JOURNEY_STAGE","TOTAL_VISITS","TOTAL_VISITORS","PURCHASE_SCORE","PREDICTED_ACCOUNT_VALUE","SCORE_TIER"
"rapid-works.com","Rapid Works","Health, Wellness and Fitness","Small ($1MM-$10MM)","Small (10-49)","Aware",6,5,0.162,154,"COLD"
"atlas-labs.com","Atlas Labs","Marketing and Advertising","Medium-Large ($50MM-$100MM)","Medium (200-499)","Unaware",5,1,0.060,186,"COLD"
"bright-corp.com","Bright Corp","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium (200-499)","Engaged",75,17,0.550,374,"WARM"
"cyber-labs.com","Cyber Labs","Manufacturing","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Aware",3,6,0.156,105,"COLD"
"cyber-media.com","Cyber Media","Education Management","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Engaged",56,10,0.412,302,"WARM"
"atlas-data.com","Atlas Data","Health, Wellness and Fitness","Micro ($0-$1MM)","Micro (1-9)","Unaware",2,1,0.054,82,"COLD"
"smart-net.com","Smart Net","Telecommunications","Small ($1MM-$10MM)","Small (10-49)","Aware",7,5,0.164,74,"COLD"
"green-hub.com","Green Hub","Food & Beverages","Medium-Large ($50MM-$100MM)","Medium (200-499)","MQL",195,17,0.750,584,"HOT"
"smart-io.com","Smart Io","E-Learning","Small ($1MM-$10MM)","Small (10-49)","Unaware",3,1,0.056,99,"COLD"
"vertex-io.com","Vertex Io","Telecommunications","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware",1,1,0.052,162,"COLD"
"apex-media.com","Apex Media","Software / Information Technology","Micro ($0-$1MM)","Micro (1-9)","Engaged",40,10,0.480,254,"WARM"
"bright-group.com","Bright Group","Software / Information Technology","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","Engaged",12,13,0.424,763,"WARM"
"rapid-net.com","Rapid Net","Manufacturing","Small ($1MM-$10MM)","Small (10-49)","Aware",18,1,0.186,232,"COLD"
"cyber-inc.com","Cyber Inc","Consumer Goods","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Engaged",105,13,0.510,387,"HOT"
"swift-io.com","Swift Io","Health, Wellness and Fitness","Large ($100MM-$200MM)","Large (1,000-4,999)","Aware",11,5,0.172,108,"COLD"
"rapid-systems.com","Rapid Systems","Management Consulting","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","Unaware",4,1,0.058,599,"COLD"
"vertex-solutions.com","Vertex Solutions","E-Learning","XXLarge ($1B+)","XXLarge (10,000+)","Aware",12,3,0.174,599,"COLD"
"iron-digital.com","Iron Digital","Entertainment","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware",1,1,0.052,128,"COLD"
"core-solutions.com","Core Solutions","Entertainment","XXLarge ($1B+)","XXLarge (10,000+)","Unaware",3,1,0.056,700,"COLD"
"core-tech.com","Core Tech","Retail","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Aware",14,3,0.278,113,"COLD"
"apex-io.com","Apex Io","Management Consulting","Micro ($0-$1MM)","Small (10-49)","Aware",14,2,0.178,232,"COLD"
"nova-tech.com","Nova Tech","Education Management","Small ($1MM-$10MM)","Small (10-49)","Aware",13,3,0.176,224,"COLD"
"nova-inc.com","Nova Inc","Automotive","Micro ($0-$1MM)","Micro (1-9)","Unaware",5,1,0.060,197,"COLD"
"swift-solutions.com","Swift Solutions","Marketing and Advertising","XLarge ($200MM-$1B)","Large (1,000-4,999)","Unaware",1,1,0.052,645,"COLD"
"bright-media.com","Bright Media","Marketing and Advertising","Medium-Large ($50MM-$100MM)","Medium (200-499)","Opportunity",342,43,0.750,886,"HOT"
"bright-data.com","Bright Data","Construction","Small ($1MM-$10MM)","Medium-Small (50-199)","Opportunity",425,18,0.750,974,"HOT"
"green-data.com","Green Data","Construction","Micro ($0-$1MM)","Micro (1-9)","Opportunity",231,17,0.750,602,"HOT"
"vertex-tech.com","Vertex Tech","Legal Services","Small ($1MM-$10MM)","Small (10-49)","Engaged",97,11,0.494,250,"WARM"
"clear-net.com","Clear Net","Education Management","Large ($100MM-$200MM)","Large (1,000-4,999)","Opportunity",423,38,0.750,922,"HOT"
"green-systems.com","Green Systems","Entertainment","Micro ($0-$1MM)","Micro (1-9)","Aware",18,5,0.186,246,"COLD"
"atlas-media.com","Atlas Media","Education Management","XLarge ($200MM-$1B)","Large (1,000-4,999)","Aware",9,3,0.168,743,"COLD"
"nexus-labs.com","Nexus Labs","Telecommunications","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","Unaware",4,1,0.058,658,"COLD"
"core-hub.com","Core Hub","Financial Services","Small ($1MM-$10MM)","Medium-Small (50-199)","Unaware",5,1,0.060,61,"COLD"
"blue-works.com","Blue Works","Education Management","Small ($1MM-$10MM)","Small (10-49)","Engaged",18,9,0.336,215,"WARM"
