"PACKAGE_NAME","INCLUDED_DOMAIN","INCLUDED_FORMAT","PURCHASE_RATE","ESTIMATED_REACH"
"Premium_Purchase_Driven_12","buzzfeed.com","banner",0.00395,53676
"Premium_Purchase_Driven_9","techcrunch.com","native",0.00433,26802
"Premium_Purchase_Driven_8","weather.com","video",0.00435,26491
"Premium_Purchase_Driven_7","espn.com","video",0.00472,26624
"Premium_Purchase_Driven_14","bbc.com","banner",0.00377,53442
"Premium_Purchase_Driven_17","forbes.com","video",0.00375,26928
"Premium_Purchase_Driven_2","weather.com","banner",0.00495,53514
"Premium_Purchase_Driven_15","theverge.com","video",0.00376,27002
"Premium_Purchase_Driven_10","espn.com","native",0.00428,26555
"Premium_Purchase_Driven_3","people.com","banner",0.00495,53390
"Premium_Purchase_Driven_6","people.com","video",0.00476,27017
"Premium_Purchase_Driven_11","techcrunch.com","video",0.00413,26458
"Premium_Purchase_Driven_1","people.com","native",0.00530,26412
"Premium_Purchase_Driven_5","weather.com","native",0.00488,26980
"Premium_Purchase_Driven_13","buzzfeed.com","video",0.00379,26727
"Premium_Purchase_Driven_4","espn.com","banner",0.00494,53478
"Premium_Purchase_Driven_16","foxnews.com","video",0.00376,26836
