"MODEL_NAME","MODEL_TYPE","SCHEMA_LOCATION","DESCRIPTION","TARGET_TYPE","TRAINING_DATA","FEATURES","KEY_METRIC","CREATED_AT"
"PURCHASE_CLASSIFIER","SNOWFLAKE.ML.CLASSIFICATION","AFFINITY_DEMO.ML","Predicts whether an impression leads to a purchase","Binary (0/1)","1.6M training, 400K holdout","12 features","Top decile captures 21.5% of purchases (7x lift over bottom decile)","2026-09-16 07:53:01.639 -0700"
"SPEND_TIER_CLASSIFIER","SNOWFLAKE.ML.CLASSIFICATION","AFFINITY_DEMO.ML","Classifies individual×brand spend into HIGH/MEDIUM/LOW/MINIMAL tiers","4-class (spend tiers)","500K training, 200K holdout","7 features","Category spend and income are top predictors (23% and 22% importance)","2026-09-16 07:53:01.639 -0700"
"BRAND_SPEND_FORECAST","SNOWFLAKE.ML.FORECAST","AFFINITY_DEMO.ML","Forecasts next-month total spend per brand from time series","Continuous (dollar value)","112 brands × 11 months","Time series only","Directionally accurate brand ranking; consistent 2x scale bias (correctable)","2026-09-16 07:53:01.639 -0700"
"PUBMATIC_YIELD_CLASSIFIER","SNOWFLAKE.ML.CLASSIFICATION","AFFINITY_DEMO.ML","Predicts purchase probability for SSP inventory using PubMatic OpenRTB features","PURCHASED (0/1)","2.5M matched impressions","10 SSP features: bidfloor, propensity, site, geo, device, format, publisher, genre, banner_pos, auction_type","Top decile 2.5x lift, captures 25% of purchases; top 3 deciles capture 56.5%","2026-09-17 15:10:35.908 -0700"
"PUBMATIC_SPEND_CLASSIFIER","SNOWFLAKE.ML.CLASSIFICATION","AFFINITY_DEMO.ML","Classifies spend tier (HIGH/MID/LOW) for purchase-likely PubMatic impressions","SPEND_TIER (H/M/L/None)","2.5M matched impressions","8 SSP features: bidfloor, propensity, device, site, geo, publisher, format, genre","Separates high-value from low-value conversions for floor pricing","2026-09-17 15:10:35.908 -0700"
"KARGO_ENGAGEMENT_CLASSIFIER","SNOWFLAKE.ML.CLASSIFICATION","AFFINITY_DEMO.ML","Predicts purchase probability from Kargo LLD engagement features","PURCHASED (0/1)","2.5M LLD events","10 features: propensity, publisher, geo, media, viewability, placement, format, event, platform, device","Top decile 3.45x lift, captures 34.5% of purchases; top 3 deciles capture 66.4%","2026-09-22 14:24:11.421 -0700"
"KARGO_SPEND_CLASSIFIER","SNOWFLAKE.ML.CLASSIFICATION","AFFINITY_DEMO.ML","Classifies spend tier (HIGH/MID/LOW) for purchase-likely Kargo engagements","SPEND_TIER (H/M/L/None)","2.5M LLD events","8 features: propensity, media, geo, placement, event, format, platform, device","Separates high-value from low-value attributions for CTV pricing","2026-09-22 14:24:11.421 -0700"
"ADROLL_CONVERSION_CLASSIFIER","SNOWFLAKE.ML.CLASSIFICATION","AFFINITY_DEMO.ML","Predicts which AdRoll conversions are real Affinity card-swipe purchases","PURCHASED (0/1)","2M GCR conversions","11 features: revenue, propensity, city, path depth, channel, device, ad size, segment","Top decile 3.22x lift, captures 32.2% of purchases","2026-09-23 13:51:07.057 -0700"
"ADROLL_REVENUE_CLASSIFIER","SNOWFLAKE.ML.CLASSIFICATION","AFFINITY_DEMO.ML","Classifies spend tier for AdRoll converters","SPEND_TIER (H/M/L/None)","2M GCR conversions","10 features: revenue, propensity, path depth, city, ad size, channel","Separates high-value from low-value for bid optimization","2026-09-23 13:51:07.057 -0700"
"ADROLL_FUNNEL_PREDICTOR","SNOWFLAKE.ML.CLASSIFICATION","AFFINITY_DEMO.ML","Predicts which users in funnel will purchase based on engagement behavior","WILL_PURCHASE (0/1)","200K users from 10M events","13 features: event counts, funnel depth, diversity, days active, propensity","Identifies future purchasers from funnel behavior before conversion","2026-09-23 13:51:07.057 -0700"
"ADROLL_B2B_ACCOUNT_SCORER","SNOWFLAKE.ML.CLASSIFICATION","AFFINITY_DEMO.ML","Scores B2B accounts by purchase propensity using firmographics + engagement","ACCOUNT_PURCHASER (0/1)","5K companies","6 features: visits, visitors, industry, revenue, size, journey stage","Engagement frequency predicts purchase better than firmographics alone","2026-09-23 13:51:07.057 -0700"
"ADROLL_BRAND_FORECAST","SNOWFLAKE.ML.FORECAST","AFFINITY_DEMO.ML","Forecasts weekly spend by brand using Affinity transaction history","WEEKLY_SPEND","TX aggregated by brand x week","Time series: brand, timestamp, weekly spend","Projects future spend for AdRoll campaign budget allocation","2026-09-23 13:51:07.057 -0700"
