"DIM_NAME","DIM_VALUE","PROPENSITY_MULTIPLIER","RATIONALE"
"DeviceType","3",2.5,"Connected TV: lean-back, high-attention viewing"
"DeviceType","1",1.8,"Smartphone: proximity to point-of-purchase"
"DeviceType","2",1.4,"Tablet: evening shopping behavior"
"DeviceType","0",0.7,"Desktop: lower purchase intent signal"
"ContentGenre1","Entertainment",1.6,"Entertainment viewers buy more lifestyle brands"
"ContentGenre1","Sports",2,"Sports viewers: high QSR + apparel purchase rate"
"ContentGenre1","News",0.8,"News: lower commercial intent"
"ContentGenre1","Lifestyle",2.2,"Lifestyle: highest purchase affinity"
"ContentGenre1","Health",1.5,"Health: pharmacy + grocery correlation"
"ContentGenre1","Technology",1.3,"Tech: electronics + subscription correlation"
"ContentGenre1","Business",0.9,"Business: low impulse purchase"
"InventoryChannel","CTV",2.8,"CTV: highest attention + household reach"
"InventoryChannel","Mobile App",1.6,"In-app: high engagement environment"
"InventoryChannel","Video",1.4,"Video: attention-driven"
"InventoryChannel","Display",0.6,"Display: banner blindness"
"NielsenDMA","New York",1.5,"Highest retail density"
"NielsenDMA","Los Angeles",1.4,"High density + mobile-first"
"NielsenDMA","Chicago",1.3,"Strong retail market"
"NielsenDMA","Miami",1.6,"High consumer spending market"
"NielsenDMA","Dallas-Ft. Worth",1.2,"Growing retail market"
"NielsenDMA","Denver",0.8,"Lower retail density"
"NielsenDMA","Phoenix",0.9,"Moderate market"
"SupplySource","PG",2,"Programmatic Guaranteed: premium, high-intent placements"
"SupplySource","PMP",1.5,"Private marketplace: curated inventory"
"SupplySource","Direct",1.2,"Direct deals: brand-safe"
"SupplySource","OpenRTB",0.7,"Open exchange: lowest signal"
"DayPart","Evening",1.8,"Prime shopping hours"
"DayPart","Morning",1.3,"Coffee + commute purchases"
"DayPart","Afternoon",1,"Baseline"
"DayPart","LateNight",0.5,"Low intent"
"Site","espn.com",2,"Sports → QSR + apparel"
"Site","weather.com",1.6,"Utility site → local retail"
"Site","people.com",1.8,"Lifestyle → beauty + fashion"
"Site","cnn.com",0.9,"News → low purchase intent"
"Site","nytimes.com",0.8,"News → low purchase intent"
"ConnectionType","WiFi",1.3,"Home WiFi: near point-of-purchase research"
"ConnectionType","Cellular",1.1,"On-the-go"
"ConnectionType","Ethernet",0.8,"Office/work setting"
"MatchCode","EXCT",2,"Exact match: highest identity confidence"
"MatchCode","HEM1",1.8,"Email match: strong identity signal"
"MatchCode","MDI1",1.5,"MAID: good device-level match"
"MatchCode","IPA1",0.6,"IP only: household-level, noisy"
